Denominación;Fecha última modificación;Dirección;Código Provincia;Codigo municipioINE;Provincia;Localidad;CP;Zona Acción Social;Teléfono;Fax;Nº Registro;Entidad Titular;Entidad Gestora;Naturaleza;email;Web;Sector;Tipo;Subtipo;Plazas;Latitud;Longitud;Director;Posicion
CENTRO DE DÍA PILAR VALLEZ;2025-10-14;PASEO PARQUE (EL)  Nº 17 CENTRO DE RECURSOS PILAR VALLEZ;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;987 234341;;241501;ASOCIACIÓN DE PADRES Y FAMILIARES DE PERSONAS CON AUTISMO DE LEÓN Y  PROVINCIA;;ASOCIACIÓN;asociacion@autismoleon.org;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del espectro del autismo;OTROS: 36;;;MARTA LÓPEZ GONZÁLEZ;
PISO TUTELADO;2023-03-03;CALLE SAMPIRO 18 3º IZDA;24;24089;LEON;LEON;24001;LEÓN - CENTRO;646 837671;;241788;GESTIÓN RESIDENCIAL FIGAR S.L.;;SOCIEDADES;jfidalgo@grupocampolar.com;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;OTROS: 6;42.6007073;-5.5805587;Ismael Fidalgo Fidalgo;42.6007073, -5.5805587
CENTRO TERAPÉUTICO DE DÍA ENFERMOS DE ALZHEIMER;2025-02-24;PASEO PARQUE (EL) S/N;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;987 263868;;240151;ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DE LEÓN - (ALZHEIMER-LEÓN);;ASOCIACIÓN;info@alzheimerleon.org;;PERSONAS MAYORES;Centro de día;Estancias diurnas para enfermos de Alzheimer;DEPENDIENTES: 45;42.5814526;-5.5664974;NIEVES LOMA LUIS;42.5814526, -5.5664974
LA FAMILIA RESIDENCIA PARA PERSONAS MAYORES;2023-03-03;CALLE CEPEDA (LA) 12BAJO IZDA.;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;987 001934;;240365;TU OTRA FAMILIA;;SOCIEDADES;tuotrafamilia@gmail.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 24;42.5998764;-5.571752;SEVERINO GONZALEZ GARCIA;42.5998764, -5.571752
CENTRO BUENDÍA ERAS;2025-04-10;CALLE PRIMERO DE MAYO  1;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;987 804631;;240122;CENTROS BUENDIA LEÓN S.L.;;SOCIEDADES;direccioneras@centrosbuendia.com;;PERSONAS MAYORES;Residencia;Mixta para válidos y asistidos;VÁLIDOS: 18, ASISTIDOS: 57;;;CARLOTA OTERO SÁNCHEZ;
CENTRO BUENDÍA LA SAL;2023-09-11;CALLE COFRADIA DEL CIENTO 2;24;24089;LEON;LEON;24009;LEÓN - EL CRUCERO-LA VEGA;987 807805;;240313;CENTROS BUENDIA LEÓN S.L.;;SOCIEDADES;direccionlasal@centrosbuendia.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 63;42.5966462;-5.5883157;SAMUEL VILLAZÁN ANTÓN;42.5966462, -5.5883157
"RESIDENCIA DE PERSONAS MAYORES ""EL PINAR""";2022-10-20;CALLE TELENO 60;24;24091;LEON;TABUYO DEL MONTE;24721;ASTORGA;987 600820;;240605;JUNTA VECINAL DE TABUYO DEL MONTE;LA ABEDOLINA, S.L.;ADMINISTRACIÓN LOCAL;elpinar@labedolina.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 38;42.3145695;-6.2066903;MARÍA MARTÍNEZ RODRÍGUEZ;42.3145695, -6.2066903
RESIDENCIA DE PERSONAS MAYORES VIRGEN DE GRACIA;2020-09-15;AVENIDA CONSTITUCION 74;24;24094;LEON;MANSILLA DE LAS MULAS;24210;MANSILLAS DE LAS MULAS;987 310148;;240086;Mª ARACELI GONZALEZ GONZALEZ;;PERSONA FÍSICA-EMPRESA INDIVIDUAL;arac1964@hotmail.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 27;42.4984545;-5.4171895;MARIA ARACELI GONZÁLEZ GONZÁLEZ;42.4984545, -5.4171895
RESIDENCIA DE PERSONAS MAYORES MANSILLA DE LAS MULAS;2026-02-05;AVENIDA VILLA DE LIL S/N;24;24094;LEON;MANSILLA DE LAS MULAS;24210;MANSILLAS DE LAS MULAS;987 311824;;240433;AYUNTAMIENTO DE MANSILLA DE LAS MULAS;EDAD DORADA MENSAJEROS DE LA PAZ CASTILLA Y LEÓN;ADMINISTRACIÓN LOCAL;residenciamansilla@mensajerosdelapazcyl.org;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 91;42.4965689;-5.4177807;RUBEN PORTUGUES CASTAÑO;42.4965689, -5.4177807
UNIDAD DE ESTANCIAS DIURNAS MANSILLA DE LAS MULAS;2024-03-19;LUGAR VILLALIN S/N;24;24094;LEON;MANSILLA DE LAS MULAS;24210;MANSILLAS DE LAS MULAS;987 372217;;240434;AYUNTAMIENTO DE MANSILLA DE LAS MULAS;EDAD DORADA MENSAJEROS DE LA PAZ CASTILLA Y LEÓN;ADMINISTRACIÓN LOCAL;residenciamansilla@mensajerosdelapazcyl.org;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 15;;;RUBÉN PORTUGUES CASTAÑO;
HOGAR JUBILADOS Y PENSIONISTAS DE MATALLANA DE TORIO;2020-10-14;CALLE CUARTEL GUARDIA CIVIL S/N.;24;24098;LEON;MATALLANA DE TORIO;24830;CUENCA DE MATALLANA;987 591003;;240007;ASOCIACION DE JUBILADOS Y PENSIONISTAS DE MATALLANA DE TORIO;;ASOCIACIÓN;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.8438505;-5.4980355;;42.8438505, -5.4980355
"HOGAR DE PERSONAS MAYORES  ""VIRGEN DE LAS ANGUSTIAS""";2020-10-14;PLAZA MAYOR 11;24;24113;LEON;POBLADURA DE PELAYO GARCIA;24249;SANTA MARÍA DEL PÁRAMO;987 385021;;240479;"ASOCIACION DE JUBILADOS Y PENSIONISTAS ""VIRGEN DE LAS ANGUSTIAS""";;ASOCIACIÓN;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.3061547;-5.6858271;Guillermo Rodriguez Diaz;42.3061547, -5.6858271
RESIDENCIA DE PERSONAS MAYORES NTRA. SRA. DE LA ENCINA;2024-05-08;CALLE JOSEFINA GAVILANES GONZALEZ 89;24;24115;LEON;CAMPO DE PONFERRADA;24414;PONFERRADA - ZONA ALTA - EL PLANTÍO;987 403315;987 987429888;240149;RESIDENCIA DE  ANCIANOS NUESTRA SEÑORA ENCINA FUNDACION FUSTEGUERAS;;FUNDACIÓN;residencia.campo@gmail.com;;PERSONAS MAYORES;Residencia;Mixta para válidos y asistidos;VÁLIDOS: 40, ASISTIDOS: 40;42.5393075;-6.565033;MANUEL RODRÍGUEZ FERREIRA;42.5393075, -6.565033
UNIDAD DE ESTANCIAS DIURNAS DE LA RESIDENCIA DE PONFERRADA;2025-06-23;CALLE RAMON GONZALEZ ALEGRE 10;24;24115;LEON;PONFERRADA;24400;PONFERRADA - ZONA CENTRO - LA PUEBLA;987 410918;;240388;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;EULEN SERVICIOS SOCIOSANITARIOS S.A.;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 16;42.5484868;-6.6126397;MERCEDES GARCÍA RODRIGUEZ;42.5484868, -6.6126397
RESIDENCIA MINUSVALIDOS ASPRONA BIERZO;2026-03-14;AVENIDA TERCIO DE FLANDES 24BAJO;24;24115;LEON;PONFERRADA;24400;PONFERRADA - ZONA CENTRO - LA PUEBLA;987 412985;;240030;ASPRONA BIERZO;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 16;;;MARIA BELÉN RODRÍGUEZ SANJURJO;
CUATROVIENTOS 2ºA;2025-12-14;AVENIDA GALICIA Nº 43 2ºA;24;24115;LEON;PONFERRADA;24404;PONFERRADA - ZONA BAJA - FLORES SIL;987 412985;;241570;ASPRONA BIERZO;;ASOCIACIÓN;aspronabierzo@aspronabierzo.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;OTROS: 7;42.5583315;-6.6210569;ARANZAZÚ DUO DELGADO;42.5583315, -6.6210569
RESIDENCIA COMPOSTILLA;2026-03-14;CALLE III AVENIDA DE COMPOSTILLA, Nº 24;24;24115;LEON;PONFERRADA;24404;PONFERRADA - ZONA CENTRO - LA PUEBLA;987 412841;;240980;ASPRONA BIERZO;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 32;;;MARÍA BELÉN RODRÍGUEZ SANJURJO;
CENTRO DE BARRIO CUATROVIENTOS;2026-03-14;AVENIDA GALICIA 41;24;24115;LEON;PONFERRADA;24404;PONFERRADA - ZONA CENTRO - LA PUEBLA;987 455228;;241893;ASPRONA BIERZO;;ASOCIACIÓN;aspronabierzo@aspronabierzo.org;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;DISCAPACIDAD INTELECTUAL: 60;42.558229;-6.620838099999999;ARÁNZAZU DÚO DELGADO;42.558229, -6.620838099999999
VIVIENDA CEMBA BAJO;2025-09-26;CALLE CEMBA (LA) 9;24;24115;LEON;PONFERRADA;24401;PONFERRADA - ZONA BAJA - FLORES SIL;626 998957;626 626998957;241992;ASPRONA BIERZO;;ASOCIACIÓN;aspronabierzo@aspronabierzo.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;DISCAPACIDAD INTELECTUAL: 1;;;;
CUATROVIENTOS 2ºB;2025-04-14;AVENIDA GALICIA Nº 43 2º B;24;24115;LEON;PONFERRADA;24404;PONFERRADA - ZONA BAJA - FLORES SIL;987 412985;;241571;ASPRONA BIERZO;;ASOCIACIÓN;aspronabierzo@aspronabierzo.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;OTROS: 5;42.5583315;-6.6210569;ARANZAZÚ DUO DELGADO;42.5583315, -6.6210569
CENTRO DE DÍA EL PLANTÍO;2025-07-30;PARQUE ELPLANTIO S/N;24;24115;LEON;PONFERRADA;24400;PONFERRADA - ZONA ALTA - EL PLANTÍO;987 417429;;240478;AYUNTAMIENTO DE PONFERRADA;CLECE, S.A.;ADMINISTRACIÓN LOCAL;sauss@ponferrada.org;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;;;GEMMA SAGREDO SAIZ;
UNIDAD DE ESTANCIAS DIURNAS EL PLANTÍO;2025-08-05;PARQUE EL PLANTIO S/N;24;24115;LEON;PONFERRADA;24400;PONFERRADA - ZONA ALTA - EL PLANTÍO;987 088926;;240477;AYUNTAMIENTO DE PONFERRADA;;ADMINISTRACIÓN LOCAL;sauss@ponferrada.org;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 17;42.5497319;-6.5851929;GEMMA SAGREDO SAIZ;42.5497319, -6.5851929
CENTRO DE DÍA PARA PERSONAS MAYORES DE FLORES DEL SIL - UNIDAD DE ATENCIÓN SOCIAL;2022-11-07;AVENIDA MARTINA S/N FLORES DEL SIL;24;24115;LEON;PONFERRADA;24400;PONFERRADA - ZONA CENTRO - LA PUEBLA;987 456152;;240871;AYUNTAMIENTO DE PONFERRADA;;ADMINISTRACIÓN LOCAL;social-director@ponferrada.org;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.54701;-6.6188686;CARLOS LOPEZ RIESCO;42.54701, -6.6188686
RESIDENCIA LA ROSALEDA;2025-05-27;AVENIDA CONSTITUCION (LA) Nº 5;24;24115;LEON;PONFERRADA;24404;PONFERRADA - ZONA BAJA - FLORES SIL;987 411258;;241461;RESIDENCIA TERCERA EDAD LAS ENCINAS, S.L.;;SOCIEDADES;admon@lasencinassg.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 131;;;ESTEFANIA MIRANDA LÓPEZ;
VIVIENDA DE APOYO;2023-11-15;AVENIDA ESCRITORES (LOS) 33 -2º G;24;24115;LEON;PONFERRADA;24404;PONFERRADA - ZONA CENTRO - LA PUEBLA;987 427720;;240519;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;;;CARLOS MOUTA FERNANDEZ;
"CENTRO RESIDENCIAL  ""CONDE DE ALDAMA""";2022-09-27;CALLE ANDRES VILORIA 3;24;24115;LEON;PONFERRADA;24400;PONFERRADA - ZONA BAJA - FLORES SIL;987 456537;987 419137;240607;SETAS DEL BIERZO, S.L.;;SOCIEDADES;condedealdama@condedealdama.es;www.condedealdama.es;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 49;42.5463315;-6.5908331;ANA E. PRIETO ORALLO;42.5463315, -6.5908331
CENTRO GERIÁTRICO SAN ROQUE;2025-09-01;CALLE BRINDIS MORAN S/N;24;24122;LEON;PUENTE DE DOMINGO FLOREZ;24380;PUENTE DOMINGO FLOREZ;987 460806;;240412;AYUNTAMIENTO DE PUENTE DOMINGO FLOREZ;ARALIA SERVICIOS SOCIOSANITARIOS S.A.;ADMINISTRACIÓN LOCAL;;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 64;42.4142063;-6.8284431;JUAN IGNACIO MAÑAS MARTÍN;42.4142063, -6.8284431
CENTRO DE DIA VIRGEN DE CELADA-ALCALDE JOSÉ LUIS GARCÍA FERNÁNDEZ;2024-04-30;CALLE EMILIA MENENDEZ 32;24;24134;LEON;ROBLA (LA);24640;CUENCA DE MATALLANA;987 302213;;241672;AYUNTAMIENTO DE LA ROBLA;ARALIA SERVICIOS SOCIOSANITARIOS S.A.;ADMINISTRACIÓN LOCAL;ma.sanchez@araliasevicios.es;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 45;42.80214549999999;-5.6313019;MERCEDES DOMINGUEZ OSORIO;42.80214549999999, -5.6313019
"HOGAR RESIDENCIA DE PERSONAS MAYORES ""SAN JOSE""";2026-03-04;CALLE ANTONIO NICOLAS Nº 45;24;24139;LEON;SAHAGUN;24320;SAHAGÚN DE CAMPOS;987 780085;;240183;FUNDACIÓN HOGAR RESIDENCIA SAN JOSÉ;HIJAS DE LA CARIDAD DE SAN VICENTE DE PAUL PROVINCIA ESPAÑA NORTE;FUNDACIÓN;sanjosesahagun@hotmail.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 91;42.3703374;-5.031425599999999;ELENA BORGE MERINO;42.3703374, -5.031425599999999
RESIDENCIA DE ANCIANOS VIRGEN DE LA  PEREGRINA;2024-05-08;AVENIDA FERNANDO DE CASTRO 53;24;24139;LEON;SAHAGUN;24320;SAHAGÚN DE CAMPOS;987 780790;;240628;AYUNTAMIENTO DE SAHAGUN;EXCELLENCE INNOVA CYF, S.L.;ADMINISTRACIÓN LOCAL;residencia.sahagun@excellence-innova.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 65;42.368927;-5.031952299999999;ERMILA FERNANDEZ ALAEZ;42.368927, -5.031952299999999
CENTRO DE REFERENCIA ESTATAL DE ATENCIÓN A PERSONAS CON GRAVE DISCAPACIDAD FÍSICA;2022-09-27;CALLE LIMONAR DE CUBA S/N;24;24142;LEON;SAN ANDRES DEL RABANEDO;24010;SAN ANDRÉS DEL RABANEDO - TROBAJO DEL CAMINO;987 843300;;240789;INSTITUTO DE MAYORES Y SERVICIOS SOCIALES. IMSERSO;;ADMINISTRACIÓN CENTRAL;;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad física;OTROS: 120;42.6007621;-5.6011226;MARÍA TERESA GUTIÉRREZ FUENTES;42.6007621, -5.6011226
CENTRO DE DÍA PARA PERSONAS CON DISCAPACIDAD FÍSICA GRAVE;2020-12-04;CALLE LIMONAR DE CUBA S/N;24;24142;LEON;SAN ANDRES DEL RABANEDO;24010;SAN ANDRÉS DEL RABANEDO - TROBAJO DEL CAMINO;607 577021;;240790;INSTITUTO DE MAYORES Y SERVICIOS SOCIALES. IMSERSO;;ADMINISTRACIÓN CENTRAL;;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad física;OTROS: 20;42.6007621;-5.6011226;NURIA MENDOZA LAIZ;42.6007621, -5.6011226
VIVIENDA HOGAR CRUZ DE LOS ÁNGELES - ROMERAL 120;2022-11-07;AVENIDA ROMERAL (EL) Nº 120;24;24142;LEON;SAN ANDRES DEL RABANEDO;24009;ZONA I - SAN ANDRÉS DEL RABANEDO;985 211399;985 204180;240922;FUNDACION CRUZ DE LOS ANGELES;;FUNDACIÓN;;;INFANCIA (Y JUVENTUD);Vivienda;Vivienda hogar;OTROS: 8;42.5151399;-5.7690579;TERESA ESTRADA VILLAZÓN;42.5151399, -5.7690579
CENTRO MUNICIPAL DE MAYORES TROBAJO DEL CAMINO;2023-03-03;CALLE PRINCESA (LA) 6;24;24142;LEON;TROBAJO DEL CAMINO;24010;ZONA I - SAN ANDRÉS DEL RABANEDO;987 844300;;240795;AYUNTAMIENTO DE SAN ANDRÉS DEL RABANEDO;;ADMINISTRACIÓN LOCAL;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.5971693;-5.6080926;MARIA EUGENIA GANCEDO GARCIA;42.5971693, -5.6080926
UNIDAD DE ESTANCIAS DIURNAS DE TROBAJO DEL CAMINO;2020-10-14;PLAZA PARROCO BALDOMERO GARCIA GUTIERREZ 1;24;24142;LEON;TROBAJO DEL CAMINO;24010;ZONA I - SAN ANDRÉS DEL RABANEDO;987 840229;;240454;AYUNTAMIENTO DE SAN ANDRÉS DEL RABANEDO;;ADMINISTRACIÓN LOCAL;;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 45;42.6113842;-5.6194923;Jose Carlos Lozano Gallego;42.6113842, -5.6194923
PISO DE CHICOS;2024-03-15;CALLE IGLESIA (LA) 60BAJO IZD.;24;24142;LEON;TROBAJO DEL CAMINO;24010;ZONA I - SAN ANDRÉS DEL RABANEDO;987 246644;;240374;ASOCIACIÓN PROTECTORA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASPRONA-LEÓN);;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;OTROS: 7;;;JORGE GARCÍA MARTÍNEZ;
RESIDENCIA PRAZADIEL;2021-03-15;CARRETERA LEON-ASTORGA S/N.;24;24148;LEON;SAN JUSTO DE LA VEGA;24710;ASTORGA;987 604130;987 604131;240427;POLVAZARES S.L.;;SOCIEDADES;prazadiel2@gmail.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 42;42.4395078;-6.0180639;JAIME DOMÍNGUEZ COMBARROS;42.4395078, -6.0180639
HOGAR JUBILADOS Y PENSIONISTAS LA PARAMESA;2020-10-14;CALLE ANDRES DE PAZ 12;24;24157;LEON;SANTA MARIA DEL PARAMO;24240;SANTA MARÍA DEL PÁRAMO;987 351015;;240041;"ASOCIACION COMARCAL DE JUBILADOS Y PENSIONISTAS ""LA PARAMESA""";;ASOCIACIÓN;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.3540168;-5.7485863;JUAN E. FERNANDEZ VACAS;42.3540168, -5.7485863
"RESIDENCIA ""LOS ÁNGELES DEL PÁRAMO""";2021-09-30;CARRETERA CIRCUNVALACION SECTOR 1;24;24157;LEON;SANTA MARIA DEL PARAMO;24240;SANTA MARÍA DEL PÁRAMO;987 351020;;240695;RESIDENCIA  LOS ANGELES DEL PARAMO S.L.;;SOCIEDADES;;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 49;42.357958;-5.740086;MARIA DONINA GARCIA GARCIA;42.357958, -5.740086
"UNIDAD DE ESTANCIAS DIURNAS ""LOS ÁNGELES DEL PÁRAMO""";2020-12-03;CARRETERA CIRCUNVALACION SECTOR 1 S/N;24;24157;LEON;SANTA MARIA DEL PARAMO;24240;SANTA MARÍA DEL PÁRAMO;619 828720;;240694;RESIDENCIA  LOS ANGELES DEL PARAMO S.L.;;SOCIEDADES;;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 25;42.3603068;-5.7444245;Mª ANGELES MARCOS FERNANDEZ;42.3603068, -5.7444245
"RESIDENCIA PARA PERSONAS MAYORES ""SANTA MARINA DEL REY""";2024-05-28;CALLE BEATOS FRANCISCO ALFREDO, JUAN ANTONIO Y MARCELINO 4;24;24159;LEON;SANTA MARINA DEL REY;24393;RIBERA DEL ÓRBIGO;987 377509;;241005;ASOCIACION DE FAMILIARES Y AMIGOS ENFERMOS ALZHEIMER Y OTRAS DEMENCIAS DE SANTA MARINA DEL REY;;ASOCIACIÓN;afastamarina@yahoo.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 51;;;Mª LOURDES GARCÍA PÁRAMO;
CENTRO DE DÍA SANTA MARINA - UNIDAD DE ESTANCIAS DIURNAS;2024-05-28;CALLE BEATOS FRANCISCO ALFREDO, JUAN ANTONIO Y MARCELINO, Nº 2;24;24159;LEON;SANTA MARINA DEL REY;24393;RIBERA DEL ÓRBIGO;987 377086;;240726;AYUNTAMIENTO DE SANTA MARINA DEL REY;ASOCIACION DE FAMILIARES Y AMIGOS ENFERMOS ALZHEIMER Y OTRAS DEMENCIAS DE SANTA MARINA DEL REY;ADMINISTRACIÓN LOCAL;afastamarina@yahoo.es;;PERSONAS MAYORES;Centro de día;Estancias diurnas para enfermos de Alzheimer;ASISTIDOS: 60;;;Lourdes Garcia Paramo-Alberto Fernandez Fuertes;
CENTRO OCUPACIONAL SAN NICOLAS DE BARI;2026-03-14;CAMINO ANTIMIO Nº 32;24;24162;LEON;QUINTANA DE RANEROS;24391;LEÓN II - VALVERDE DE LA VIRGEN;987 280211;987 987280130;240051;ASOCIACIÓN PROTECTORA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASPRONA-LEÓN);;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 222;42.5430823;-5.6371018;JUAN CARLOS PULGAR RODRIGUEZ;42.5430823, -5.6371018
RESIDENCIA PERSONAS MAYORES LAS CANDELAS;2024-05-08;CALLE FORNILLA (LA) S/N;24;24169;LEON;TORENO;24450;TORENO;987 533388;;240211;AYUNTAMIENTO DE TORENO;AGEYDEN SIGLO XXI, S.L.;ADMINISTRACIÓN LOCAL;direccion.lascandelas@grupoaege.net;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 49;42.6946141;-6.5099679;Cristina Cardosa Santiago;42.6946141, -6.5099679
UNIDAD DE ESTANCIAS DIURNAS;2021-09-30;CARRETERA PONFERRADA-LA ESPINA KM21300;24;24169;LEON;TORENO;24450;TORENO;983 135135;;241342;ARALIA SERVICIOS SOCIOSANITARIOS S.A.;;SOCIEDADES;araliaservicios@aralia.es;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 15;42.6936992;-6.5089758;ALVARO DURÁN GUILLÉN;42.6936992, -6.5089758
CENTRO DE DIA LAS CANDELAS;2026-03-14;AVENIDA SANTA BARBARA 114;24;24170;LEON;TORRE DEL BIERZO;24370;TORRE DEL BIERZO;987 455228;;241753;AYUNTAMIENTO DE TORRE DEL BIERZO;ASPRONA BIERZO;ADMINISTRACIÓN LOCAL;aspronabierzo@aspronabierzo.org;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 30;42.5962597;-6.328195099999999;CONCEPCION JIMENEZ RODRIGUEZ;42.5962597, -6.328195099999999
RESIDENCIA TERCERA ACTIVIDAD DE LEÓN;2023-03-10;CAMINO SANTA OLAJA Nº 24;24;24175;LEON;VALDELAFUENTE;24227;LEÓN I - VILLAQUILAMBRE;987 269021;987 987207511;240186;FUNDACIÓN SANTA MARÍA LA REAL DEL PATRIMONIO HISTÓRICO, UN PROYECTO DESDE CASTILLA Y LEÓN;;FUNDACIÓN;mprieto@santamarialareal.org;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 105;;;LIBERTAD PÁRAMO GONZÁLEZ;
CENTRO DE ESTANCIAS DIURNAS QUINTANA DE RUEDA;2024-04-18;CALLE PISCINAS (LAS) 35;24;24180;LEON;QUINTANA DE RUEDA;24930;ZDESCONOCIDO;669 345739;669 629769755;240659;ASOCIACION DE FAMILIARES Y AMIGOS DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DEL AYUNTAMIENTO DE VALDEPOLO (AFADEVA);;ASOCIACIÓN;;;PERSONAS MAYORES;Centro de día;Estancias diurnas para enfermos de Alzheimer;DEPENDIENTES: 49;;;Maria Luisa Vega Pacho;
"RESIDENCIA GERIATRICA ""LA REGENTA""";2022-09-29;CALLE SANTA TERESA 2;24;24181;LEON;VALDERAS;24220;VALENCIA DE DON JUAN;987 763100;;240088;LA REGENTA CENTRO GERIÁTRICO S.L.;;SOCIEDADES;residencialaregenta@gmail.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 27;42.0765102;-5.4423602;MARIA EUGENIA CASTRO NAVARRO;42.0765102, -5.4423602
HOGAR DEL PENSIONISTAS COYANZA;2020-10-14;PLAZA SALVADOR 4;24;24188;LEON;VALENCIA DE DON JUAN;24200;VALENCIA DE DON JUAN;987 752372;;240148;ASOCIACION DE PENSIONISTAS COYANZA;;ASOCIACIÓN;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.2910809;-5.5191758;;42.2910809, -5.5191758
RESIDENCIA VIRGEN DE LORETO;2023-09-14;CALLE LEON, Nº 57;24;24188;LEON;VALENCIA DE DON JUAN;24200;VALENCIA DE DON JUAN;987 750849;;240037;PARROQUIA DE VALENCIA DE DON JUAN;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;salvador.valbuena@coyanza.net;;PERSONAS MAYORES;Residencia;Para asistidos;DEPENDIENTES: 71;42.2992386;-5.5204773;MARIA TERESA ALEGRE MANCHA;42.2992386, -5.5204773
RESIDENCIA DE MAYORES RETO A LA ESPERANZA;2021-05-18;CALLE PERALES (LOS) 3;24;24189;LEON;ALDEA DE LA VALDONCINA (LA);24391;LEÓN II - VALVERDE DE LA VIRGEN;987 300995;;240627;ASOCIACIÓN RETO A LA ESPERANZA;;ASOCIACIÓN;mayores.leon@asociacionreto.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 29;42.5565722;-5.6716985;GINES PEREZ VALDIVIESO;42.5565722, -5.6716985
